Rinderfilet,20g,3g,0g,107
Rindergulasch,20g,4g,0g,116
Rinderhackfleisch,20g,12g,0g,188
Rinderhüfte,21g,3g,0g,111
Rinderleber,20g,5g,0g,125
Rindersteak,28g,5g,0g,157
Rindertatar,20g,3g,0g,107
Rinderzunge,14g,10g,0g,146
Rindswurst,18g,21g,0g,261
Rippchen,15g,6.5g,0g,119
Roastbeef,20g,3g,0g,107
Rollmops,14.4g,11g,1g,161
Rotbarsch,20g,4.4g,0g,120
Rührei,12g,14g,1g,178
Rumpsteak,30g,9g,0g,201
Saibling,18.8g,2g,0g,93
Salami,20g,28g,0g,332
Sardinen,22g,12g,0g,196
Schellfisch,20g,1.2g,0g,91
Schinken roh geräuchert,19g,4g,0g,112
Schinkenspeck,29g,24g,0g,332
Schinkenwurst,12g,22g,0g,246
Scholle,16g,1g,0g,73
Schweinebauch,19g,36g,0g,400
Schweinebraten,21g,3g,0g,111
Schweinefilet,20g,4g,0g,116
Schweinegulasch,21g,3g,0g,111
Schweinehackfleisch,20g,25g,0g,305
Schweinehaxe,22g,18g,0g,250
Schweinekotelett,21g,3g,0g,111
Schweineleber,20g,5g,0g,125
Schweinerücken,11g,2.1g,0g,63
Schweineschnitzel. roh,21g,3g,0g,111
Schweineschulter,18g,9g,0g,153
Schweinezunge,21g,3g,0g,111
Schwertfisch,23g,8g,0g,164
Seehecht,17g,2.8g,0g,93
Seelachs,18g,0.8g,0g,79
Seeteufel,15g,1g,0g,69
Seezunge,17g,1g,0g,77
Serrano Schinken,30g,9g,0.4g,203
Spare Ribs mariniert,17.5g,15.9g,2g,221
Speck,5g,85g,0g,785
Spiegelei,12g,14g,1g,178
Stremellachs,25g,12g,0.1g,208
Suppenfleisch Rind,18g,10g,0g,162
Suppenhuhn,15g,20g,0g,240
Surimi,15g,0.9g,7g,96
Sushi,6.5g,0.7g,23.5g,126
Tafelspitz mager roh,20g,2g,1g,102
Teewurst,12g,49g,0g,489
Thunfisch,24g,2g,0g,114
Tintenfisch,15g,1g,0g,69
Weißwurst,10g,25g,0g,265
Welsfilet,18.7g,12g,0g,183
Wiener Schnitzel gebr.,20g,11g,13g,231
Wiener Würstchen,11.1g,22g,0.2g,243
Wildente,11g,8.7g,0g,122
Wildlachs,18g,3g,0g,99
Wildschwein,21g,7g,0g,147
Zander,20g,1g,0g,89
Zwiebelmettwurst,15g,25g,0g,285
Butter,1g,82g,0g,742
Gheebutter,0g,99g,0g,891
Erdnussöl,0g,100g,0g,900
Gänseschmalz,0g,100g,0g,900
Halbfettmargarine,0g,40g,0g,360
Kakaobutter,0g,100g,0g,900
Kokosfett,0g,100g,0g,900
Kokosöl,0g,100g,0g,900
Kräuterbutter,0.9g,78g,0g,706
